Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Code der Definition,43,SG5,LOC,3225,00010,,,Code der Definition,X [525],"[524] Hinweis: Es ist der Code einer Zählzeitdefinition anzugeben
[525] Hinweis: Es ist der Code einer Schaltzeitdefinition anzugeben
[526] Hinweis: Es ist der Code einer Leistungskurvendefinitio n anzugeben",,Code der Definition,43,SG5,LOC,3225,00010,,,Code der Definition,X [525],"[524] Hinweis: Es ist der Code einer Zählzeitdefinition anzugeben
[525] Hinweis: Es ist der Code einer Schaltzeitdefinition anzugeben
[526] Hinweis: Es ist der Code einer Leistungskurvendefinitio n anzugeben"
Gültigkeitsbeginn der ausgerollten Definition,44,SG5,DTM,,00012,,,,Muss,,,Gültigkeitsbeginn der ausgerollten Definition,44,SG5,DTM,,00012,,,,Muss,
Gültigkeitsbeginn der ausgerollten Definition,45,SG5,DTM,2005,00012,Z34,,Gültigkeitsbeginn,X,,,Gültigkeitsbeginn der ausgerollten Definition,45,SG5,DTM,2005,00012,Z34,,Gültigkeitsbeginn,X,
Gültigkeitsbeginn der ausgerollten Definition,46,SG5,DTM,2380,00012,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947],"[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",,Gültigkeitsbeginn der ausgerollten Definition,46,SG5,DTM,2380,00012,,,Datum oder Uhrzeit oder,X [931] ∧,
Gültigkeitsbeginn der ausgerollten Definition,47,SG5,DTM,2379,00012,303,,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsbeginn der ausgerollten Definition,47,SG5,DTM,2380,,"Zeitspanne, Wert",,,[947],"[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300"
,,,,,,,,,,,NEW,Gültigkeitsbeginn der ausgerollten Definition,48,SG5,DTM,2379,00012,303,,CCYYMMDDHHMMZZZ,X,
Gültigkeitsende der ausgerollten Definition,48,SG5,DTM,,00013,,,,Muss [46] Soll [47] ∧ [37],"[29] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 303 vorhanden
[36] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 401 vorhanden
[37] Wenn ein Gültigkeitsende bereits angegeben werden kann.
[46] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 303 vorhanden
[47] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 401 vorhanden
[48] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 303 vorhanden
[49] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 401 vorhanden",,Gültigkeitsende der ausgerollten Definition,49,SG5,DTM,,00013,,,,Muss [46] Soll [47] ∧ [37],"[29] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 303 vorhanden
[36] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 401 vorhanden
[37] Wenn ein Gültigkeitsende bereits angegeben werden kann.
[46] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 303 vorhanden
[47] Wenn in SG8 SEQ+Z73 DTM+Z44 (Schaltzeitänderungszeit punkt) im DE2379 der Code 401 vorhanden
[48] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 303 vorhanden
[49] Wenn in SG8 SEQ+Z74 DTM+Z45 (Leistungskurvenänderun gszeitpunkt) im DE2379 der Code 401 vorhanden"
Gültigkeitsende der ausgerollten Definition,49,SG5,DTM,2005,00013,Z35,,Gültigkeitsende,X,,,Gültigkeitsende der ausgerollten Definition,50,SG5,DTM,2005,00013,Z35,,Gültigkeitsende,X,
Gültigkeitsende der ausgerollten Definition,50,SG5,DTM,2380,00013,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] ∧ [947] [30],"[30] Der Wert von CCYY in diesem DE muss genau um eins höher sein, als der Wert CCYY des SG5 DTM+Z34 (Gültigkeitsbeginn) DE2380
[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300",,Gültigkeitsende der ausgerollten Definition,51,SG5,DTM,2380,00013,,,Datum oder Uhrzeit oder,X [931] ∧,
Gültigkeitsende der ausgerollten Definition,51,SG5,DTM,2379,00013,303,,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsende der ausgerollten Definition,52,SG5,DTM,2380,,"Zeitspanne, Wert",,,[947] [30],"[30] Der Wert von CCYY in diesem DE muss genau um eins höher sein, als der Wert CCYY des SG5 DTM+Z34 (Gültigkeitsbeginn) DE2380
[931] Format: ZZZ = +00
[947] Format: MMDDHHMM = 12312300"
